阅读,评论,标题,作者,最后更新
178,0,比茅牛逼,挖不尽的韭菜根,06-16 11:45
228,0,哦豁，吃了碗大面,股友pDiLFp,06-16 11:44
352,0,哪有一直涨的股，总要回调的，想要突破前面高点，至少,股友9H6r777951,06-16 11:44
1412,18,买对股，天天都是牛市,爱好这玩意,06-16 11:43
244,2,比亚迪牛批,金银腾达的玉小刚,06-16 11:43
213,1,涨停涨停走起啦,韭菜也好吃,06-16 11:43
397,1,真优秀！,皮卡皮卡秋,06-16 11:42
340,2,心态,永烁星光,06-16 11:42
334,0,贴吧真有意思,股友h8zs1b,06-16 11:42
568,2,比亚迪做更大，做更强可以收购广东兴宁市云山电动汽车,股友cbi3Ct,06-16 11:42
557,7,感谢比亚迪，爱你,财源成章的蓝银皇,06-16 11:41
392,3,比亚迪会涨到让你瞠目结舌的地步。,上玄墨,06-16 11:41
2473,2,那些吵着要进的，主力给你们机会了，进去吧，哈哈，那,A小雨学股,06-16 11:41
250,2,有大肉,南彝客,06-16 11:41
549,0,真不明白那些天天喊创新高的人是怎么想的？？脑子被驴,刺客czq,06-16 11:40
333,2,快点上车,股友X4Cqai,06-16 11:40
269,0,比亚迪国外新进展,被割的新鲜小韭菜,06-16 11:40
256,1,比亚迪牛[赞],wkhh奈何,06-16 11:40
289,2,牛逼，这是要一路涨，直接新高的节奏[加油],上班辛苦业余玩,06-16 11:39
327,2,今天早上加仓1000股,露面战神,06-16 11:39
294,2,发财发财，下周一继续涨停,莫轻信,06-16 11:39
340,2,真牛,永乐资本,06-16 11:39
361,3,比亚迪好样的[赞],股友8spmzi,06-16 11:39
313,1,今天比亚迪的收盘价格228.38元！,股友ZXPJge,06-16 11:39
213,0,坚定持有大家也不看看王传福连襟是谁[吃瓜],壁血憨憨兽,06-16 11:39
376,2,比亚迪适合长期持有。,老克拉子2163,06-16 11:39
243,1,慢慢涨吧,蒙牛后,06-16 11:38
364,1,一年涨了5倍，谁敢想,好吗还好吗,06-16 11:38
261,1,"顶级""拖""，凭这也值3个板",BYD一万亿,06-16 11:38
243,2,加仓干大家齐心协力,股民334455,06-16 11:38
350,2,比亚迪6月11日盘中涨幅达5%,比亚迪资讯,06-16 11:38
226,2,比亚迪王者荣耀,莫轻信,06-16 11:37
515,2,重大利好，明天涨停,财富自由QAQ,06-16 11:36
196,0,今天跌停，明天跌停，买太高了,莫轻信,06-16 11:36
156,0,跌停加仓1000万,哈哈哈哈哈1987,06-16 11:36
398,2,明天涨停，小道消息,大吉纳福的玉天痕,06-16 11:36
353,2,下午反转,股友PCMEDw,06-16 11:42
314,1,今天跌停了,柳飘漂,06-16 11:39
233,1,有逃出去的人吗？唉，又被套了[大哭],人间不值又去哪,06-16 11:38
227,1,这他妈要跌停,天天牛市天天股灾,06-16 11:38
204,0,垃圾比亚迪,幕后黑手就是我,06-16 11:35
248,1,真牛逼，卖飞了,飞黄四海de江别鹤,06-16 11:35
280,2,比亚迪跟着苹果混怎么都要破万亿市值,只追热点涨停板,06-16 11:35
7857,16,炒股真难，看对不一定做对，做对不一定拿住！如何止盈,涨停板C位,06-16 11:35
528,4,不知道下午能不能回升,多财成金der,06-16 11:34
190,0,走了回窕完再回来,股友50ZC219906,06-16 11:34
991,13,上午洗盘，下午要涨，快买,一位帅哥,06-16 11:34
291,2,迪哥，今天保持住红就行了。[怒],股友1136VU6696,06-16 11:34
383,2,下午翻红没上车的等明天了,股友Rud1b1,06-16 11:34
303,2,机会来了啊,老阿匍,06-16 11:34
226,0,让你涨你反跌，那让你跌你敢涨吗,梦游先生S,06-16 11:33
357,1,我发起了一个投票，【#比亚迪#我去，真跌了不少，220,梭哈到底,06-16 11:33
203,0,震荡一下，回到210以内,股友of669w,06-16 11:33
330,2,今天高开高走,THZW,06-16 11:33
280,2,给我站稳了！,花开如意的大年,06-16 11:33
522,0,天天开始跌，怕是！,本茨一浪,06-16 11:33
369,3,这才是好票，新高会继续,ttip1910,06-16 11:32
6676,70,王传福：华为手机90%金属框比亚迪造,比亚迪资讯,06-16 11:32
220,2,老大扛旗加油！,AgtcA884886A,06-16 11:32
453,3,[呲牙]长线持仓比亚迪。,福拉哥2020,06-16 11:32
207,0,王老板这几天很张狂，不论出于何种目的，反正不是好事,常州阳光,06-16 11:32
211,0,219.68跌破了,本茨一浪,06-16 11:31
3520,59,说几句实话:1、国内新能源车企这么多，没有哪家名气比,确实有道理,06-16 11:31
1981,5,苹果、巴菲特、比亚迪。巴菲特是苹果第二大股东，同时,sunny小青虫,06-16 11:31
924,7,明天满仓进去,股友t29C297792,06-16 11:31
611,11,好的，我买了，可以红了,明月清风1993心胸宽阔,06-16 11:31
208,0,估计还要掉两天,股友e6Y8EY,06-16 11:30
451,2,昨天237.1精准清仓[得意],schumi008,06-16 11:30
307,1,突破新高，↑上五百500[色][色],不可贪心吖,06-16 11:30
3322,8,价值投机的规律是如此的简洁朴素，我可以毫不费劲的告,晶石志,06-16 11:30
2516,3,比亚迪下一步走向,大开眼界520,06-16 11:30
302,1,继续涨～,股友GBDn9T,06-16 11:30
5447,49,老王最近频频出来说话，无非就是为了配合减持计划，减,确实有道理,06-16 11:30
354,3,比亚迪与苹果在谈判电池供应。,微博股市全是故事,06-16 11:30
233,0,卖卖卖,杨欢A,06-16 11:29
164,0,好疼,宏图成金得段智兴,06-16 11:29
238,2,直奔涨停去了,正飞鸣镝5250,06-16 11:29
340,2,许个愿希望2021年6月9日今天比亚迪能涨停[鼓掌],涨不停的号,06-16 11:29
541,0,给你一个理由让你们去追求让它一次跌个够！都说那比亚,茁壮大韭菜,06-16 11:29
269,2,比亚迪要为苹果供电池,股友jMz7CG,06-16 11:29
322,2,大家恐慌了吗,股友2M808h,06-16 11:29
303,2,比亚迪供货苹果,大风不打浪,06-16 11:29
203,0,大跌,股友r2385y3563,06-16 11:29
334,5,买八一八一跌，买青青稞酒青青跌，买比亚迪比亚迪跌，,胖颖飞刀,06-16 11:29
600,3,万亿比亚迪,只追热点涨停板,06-16 11:28
331,1,哈哈哈,不会赚钱的小散,06-16 11:28
2024,0,比亚迪6月16日盘中跌幅达5%,比亚迪资讯,06-16 11:27
224,0,坚持到底,慧心常好运,06-16 11:27
185,0,上升趋势没有改变,股友PCMEDw,06-16 11:27
218,0,高位三柱香，神仙也难帮,股友b3jLHl,06-16 11:27
204,1,涨停来了，来了，来了！,刀片电池技术,06-16 11:26
223,0,使劲掉点我好上车啊[大笑],股友r77F233396,06-16 11:26
193,0,还要跌两天,涨婷婷是也allin,06-16 11:26
1311,4,002594快回本了,HJH838,06-16 11:26
985,7,持有五年以上会怎么样,刘李苧欣,06-16 11:26
216,0,盘中完成调整，让筹码更加集中，好继续上扬,zsxm2015,06-16 11:25
198,0,300989,股友A59m338897,06-16 11:25
291,1,抢筹,空仓看牛市,06-16 11:25
309,2,今天市场就靠你了，迪哥！,股友ACvjrV,06-16 11:25
355,2,白酒慢牛变疯牛，其它慢牛也一定会有疯牛行情,股友cbtEBP,06-16 11:25
855,0,发现一只智能电动汽车ETF,阿甘28882,06-16 11:24
313,2,跑步进场！,老阿匍,06-16 11:24
522,3,尾盘抛了，不知道下周二能不能低进,股友VjVsyX1222,06-16 11:24
273,1,加油,股友JpH5lf,06-16 11:24
242,2,量大涨停[赞][赞][赞],股友JpH5lf,06-16 11:23
195,0,无所谓过程中的颠簸，在乎的是最后的风景,莫益平,06-16 11:23
715,0,东风日产的18岁：成年也乘风,汽车商业评论,06-16 11:22
395,1,下车的，明天恐怕就上不了车了。,股友t085388p21,06-16 11:22
561,1,我说什么来着？这b一出来比亚迪准跌，就是这么灵验！,拉高继续,06-16 11:20
171,0,跌停才好加仓[呲牙],基民S6IgJY,06-16 11:20
215,0,兄弟们干劲跑，要跌6个点,股友pDiLFp,06-16 11:18
193,0,哪个说今天要大涨的？,小草屯,06-16 11:18
1771,10,明天调整的几率有点大，个人观点，不喜勿喷[微笑],惜吖吖,06-16 11:18
212,0,机构出货好猛,股友czarpq,06-16 11:17
217,0,不要在买了，明显在引诱散户接盘,股友8h57373I36,06-16 11:17
226,0,游资相中了新大陆,股友xnj8Hu7840,06-16 11:16
2070,3,规避风险参与小规模砸盘，各位不好意思了[捂脸]再次提,惜吖吖,06-16 11:19
186,0,670倍市盈率，我服[呲牙][呲牙],股友EsZ3Wd,06-16 11:16
169,0,跌停算了，,天天牛市天天股灾,06-16 11:15
216,0,港股已-7%,A小雨学股,06-16 11:15
245,2,爆炸新闻准油股份002207，参与中亚油气，后续预计涨停,圭寸氵弓长亻亭,06-16 11:15
1263,12,完美的买到了最高点，。。[怒][怒],小小散户赚大钱丶,06-16 11:14
186,0,求求你来个跌停板,码筹的血带,06-16 11:14
192,0,601326底部买入百年秦皇一飞冲天,秋天深蓝,06-16 11:11
197,0,这个现在还敢买入吗？,股友KXkhKm,06-16 11:10
534,4,速速买入牧源股份，收盘涨停板！88888888888888888888,叭菲特0659,06-16 11:10
172,0,吹得越凶，就是想你去当韭菜,堆金为富地火舞,06-16 11:10
1869,32,比亚迪价高，市值大，炒不动[韭菜]。股友们来看看真正,花开朵朵富贵来,06-16 11:08
19728,6,两市主力资金11日净流出442.22亿，隆基股份净流入超9,狗蛋,06-16 11:07
3452,25,比亚迪189卖了，181接回来，192卖了，就长到了200+了,buildYourDreams,06-16 11:07
165,0,转发,W美杜莎女王W,06-16 11:06
191,0,庄能不能跟舍得学一学怎么坚挺？,茁壮大韭菜,06-16 11:06
250,0,这b还更新吹呢！我说什么来着？他一出来比亚迪准跌，,拉高继续,06-16 11:05
152,0,转发,W美杜莎女王W,06-16 11:04
